iter	Passed	Remaining
354	102747	1923267
355	102911	1920634
356	103589	1927577
357	103758	1925033
358	103991	1923699
359	104175	1921461
360	104352	1919099
361	104519	1916577
362	105241	1924200
363	105431	1922097
364	105674	1920958
365	106356	1927787
366	106532	1925414
367	106777	1924311
368	106966	1922215
369	107175	1920473
370	107370	1918492
371	107533	1915947
372	107693	1913368
373	107900	1911627
374	108093	1909650
375	108329	1908436
376	108493	1905982
377	108751	1905165
378	108920	1902811
379	109087	1900413
380	109261	1898168
381	109451	1896195
382	109640	1894233
383	109818	1892085
384	110051	1890887
385	110544	1894142
386	110856	1894297
387	111032	1892128
388	111210	1890000
389	111400	1888091
390	111557	1885638
391	112267	1892508
392	112468	1890791
393	112622	1888285
394	112828	1886663
395	112996	1884417
396	113152	1881978
397	113368	1880552
398	113548	1878535
399	113750	1876882
400	114204	1879395
401	114426	1878077
402	114628	1876440
403	114777	1873948
404	114940	1871688
405	115124	1869788
406	115283	1867474
407	115478	1865776
408	115676	1864112
409	115887	1862677
410	116184	1862619
411	116371	1860813
412	116539	1858707
413	116702	1856535
414	116876	1854539
415	117084	1853085
416	117293	1851660
417	117454	1849479
418	117624	1847464
419	117880	1846799
420	118102	1845595
421	118276	1843657
422	118579	1843723
423	118798	1842497
424	118970	1840540
425	119204	1839552
426	119378	1837651
427	119690	1837857
428	120179	1840798
429	120360	1838998
430	120557	1837454
431	120731	1835571
432	120918	1833878
433	121159	1833026
434	121382	1831905
435	121539	1829780
436	121724	1828092
437	121931	1826751
438	122116	1825075
439	122360	1824287
440	122533	1822443
441	122718	1820785
442	122896	1819036
443	123096	1817614
444	123266	1815752
445	123456	1814202
446	123647	1812670
447	123840	1811173
448	123990	1809044
449	124166	1807307
450	124374	1806057
451	124545	1804249
452	124755	1803028
453	124954	1801657
454	125248	1801645
455	125484	1800817
456	125695	1799625
457	125902	1798374
458	126191	1798302
459	126394	1796995
460	126589	1795594
461	126874	1795462
462	127134	1794985
463	127319	1793444
464	127806	1796169
465	128020	1795029
466	128294	1794755
467	128463	1793003
468	128630	1791227
469	128789	1789354
470	128946	1787450
471	129113	1785703
472	129332	1784680
473	129610	1784473
474	129794	1782964
475	129974	1781416
476	130444	1783839
477	130683	1783094
478	130895	1781982
479	131045	1780038
480	131214	1778351
481	131408	1777016
482	131659	1776451
483	131836	1774894
484	131992	1773056
485	132821	1780242
486	133001	1778728
487	133724	1784459
488	134011	1784348
489	134195	1782883
490	134379	1781421
491	134551	1779795
492	134847	1779829
493	135020	1778223
494	135286	1777856
495	135464	1776330
496	135651	1774929
497	135900	1774349
498	136186	1774242
499	136384	1772997
500	136629	1772371
501	137069	1774259
502	137287	1773275
503	137471	1771849
504	137656	1770456
505	138118	1772609
506	138450	1773095
507	138649	1771872
508	138841	1770564
509	139045	1769423
510	139217	1767868
511	139407	1766556
512	139598	1765258
513	139790	1763967
514	139976	1762611
515	140147	1761082
516	140317	1759528
517	140496	1758107
518	140735	1757436
519	140892	1755733
520	141078	1754404
521	141249	1752896
522	141478	1752112
523	141663	1750789
524	141835	1749302
525	142020	1747987
526	142182	1746386
527	142399	1745476
528	142585	1744183
529	142758	1742725
530	142979	1741872
531	143167	1740614
532	143439	1740376
533	143748	1740596
534	143910	1739032
535	144085	1737624
536	144297	1736679
537	144481	1735390
538	144768	1735346
539	144996	1734591
540	145161	1733081
541	145589	1734720
542	146418	1741116
543	146611	1739936
544	146809	1738812
545	147002	1737639
546	147168	1736155
547	147350	1734863
548	147590	1734260
549	147788	1733151
550	148001	1732230
551	148199	1731136
552	148415	1730265
553	148608	1729113
554	148756	1727453
555	148943	1726239
556	149132	1725062
557	149300	1723646
558	149488	1722460
559	149768	1722336
560	149925	1720804
561	150105	1719533
562	150290	1718334
563	150740	1720153
564	150914	1718826
565	151079	1717395
566	151233	1715850
567	151533	1715962
568	151735	1714953
569	151865	1713152
570	152070	1712194
571	152333	1711892
572	152522	1710748
573	152702	1709518
574	152918	1708693
575	153080	1707269
576	153265	1706110
577	153422	1704631
578	153682	1704305
579	153833	1702773
580	154555	1707558
581	154873	1707867
582	155103	1707204
583	155291	1706077
584	155748	1707909
585	155917	1706580
586	156100	1705400
587	156410	1705620
588	156569	1704188
589	156713	1702593
590	157572	1708763
591	157800	1708082
592	158519	1712709
593	158748	1712020
594	158901	1710525
595	159054	1709030
596	159261	1708130
597	159502	1707580
598	159737	1706978
599	160027	1706954
600	160249	1706214
601	160461	1705373
602	160636	1704132
603	160832	1703116
604	161004	1701858
605	161247	1701349
606	161390	1699782
607	161587	1698793
608	161760	1697555
609	162002	1697041
610	162149	1695533
611	162333	1694417
612	162518	1693323
613	162696	1692154
614	162928	1691542
615	163161	1690949
616	163355	1689943
617	163512	1688571
618	163820	1688757
619	164129	1688942
620	164363	1688363
621	164834	1690215
622	165030	1689248
623	165329	1689329
624	165592	1689038
625	165776	1687952
626	166479	1692142
627	166659	1691007
628	166853	1690023
629	167118	1689757
630	167325	1688895
631	167486	1687582
632	167713	1686942
633	167908	1685972
634	168090	1684880
635	168267	1683735
636	168544	1683590
637	168695	1682197
638	168962	1681956
639	169208	1681504
640	169471	1681235
641	169634	1679961
642	169793	1678662
643	169974	1677571
644	170152	1676464
645	170456	1676598
646	170654	1675685
647	170837	1674632
648	171008	1673461
649	171271	1673186
650	171438	1671987
651	171653	1671249
652	171855	1670392
653	172062	1669581
654	172232	1668424
655	172398	1667216
656	172565	1666034
657	172700	1664535
658	173001	1664642
659	173219	1663959
660	173543	1664288
661	173851	1664458
662	174053	1663620
663	174240	1662629
664	174428	1661662
665	174629	1660811
666	174798	1659667
667	174968	1658537
668	175275	1658695
669	175466	1657762
670	175734	1657560
671	175933	1656704
672	176410	1658469
673	176593	1657463
674	176753	1656241
675	176927	1655160
676	177099	1654063
677	177370	1653884
678	177574	1653089
679	177755	1652083
680	177959	1651287
681	178143	1650313
682	178440	1650379
683	178637	1649526
684	178790	1648263
685	178981	1647364
686	179150	1646250
687	179317	1645137
688	179784	1646762
689	179936	1645510
690	180146	1644785
691	180285	1643413
692	180458	1642350
693	180636	1641342
694	180843	1640597
695	181003	1639438
696	181159	1638236
697	181316	1637044
698	181472	1635847
699	181698	1635283
700	181845	1634015
701	181994	1632764
702	182212	1632132
703	182411	1631336
704	182569	1630177
705	182748	1629203
706	182919	1628166
707	183635	1631970
708	183804	1630908
709	184001	1630101
710	184175	1629083
711	184407	1628584
712	184573	1627510
713	184745	1626483
714	184904	1625351
715	185059	1624180
716	185269	1623494
717	185422	1622314
718	185573	1621124
719	185732	1619999
720	185908	1619028
721	186099	1618193
722	186236	1616880
723	186387	1615697
724	186587	1614948
725	186788	1614203
726	186944	1613068
727	187112	1612046
728	187269	1610929
729	187460	1610107
730	187625	1609062
731	187808	1608175
732	187977	1607171
733	188504	1609226
734	188711	1608539
735	188869	1607441
736	189049	1606532
737	189198	1605368
738	189685	1607063
739	189842	1605969
740	190011	1604966
741	190295	1604943
742	190615	1605226
743	190774	1604147
744	190959	1603290
745	191128	1602305
746	191451	1602604
747	191610	1601531
748	191814	1600841
749	192010	1600086
750	192193	1599224
751	192361	1598234
752	192554	1597460
753	192772	1596896
754	193008	1596473
755	193178	1595513
756	193334	1594435
757	193485	1593318
758	193667	1592461
759	193922	1592209
760	194075	1591110
761	194278	1590430
762	194483	1589765
763	194686	1589093
764	194982	1589171
765	195166	1588339
766	195339	1587420
767	195529	1586644
768	195699	1585699
769	195868	1584756
770	196030	1583754
771	196187	1582714
772	196336	1581615
773	196536	1580929
774	196710	1580028
775	196923	1579448
776	197083	1578442
777	197233	1577357
778	197427	1576632
779	197572	1575511
780	197717	1574396
781	197904	1573621
782	198082	1572769
783	198284	1572109
784	198448	1571158
785	198623	1570290
786	198779	1569272
787	198956	1568423
788	199134	1567587
789	199308	1566717
790	199484	1565865
791	199626	1564749
792	199780	1563726
793	199959	1562907
794	200179	1562405
795	200381	1561766
796	200560	1560947
797	200838	1560906
798	201003	1559974
799	201191	1559234
800	201421	1558814
801	201593	1557950
802	201747	1556950
803	201913	1556038
804	202065	1555023
805	202239	1554183
806	202450	1553628
807	202638	1552891
808	202894	1552685
809	203074	1551890
810	203258	1551128
811	203408	1550116
812	203601	1549426
813	203807	1548834
814	204027	1548358
815	204187	1547422
816	204387	1546789
817	204566	1546005
818	204852	1546022
819	205056	1545422
820	205278	1544966
821	205604	1545286
822	205771	1544408
823	205917	1543381
824	206107	1542680
825	206278	1541846
826	206440	1540940
827	206616	1540141
828	206792	1539341
829	206976	1538607
830	207196	1538137
831	207401	1537562
832	207923	1539329
833	208109	1538609
834	208268	1537693
835	208447	1536924
836	208966	1538660
837	209201	1538307
838	209412	1537768
839	209654	1537463
840	209875	1537006
841	210023	1536016
842	210224	1535411
843	210377	1534461
844	210507	1533339
845	211033	1535106
846	211209	1534323
847	211366	1533405
848	211551	1532692
849	212061	1534328
850	212237	1533545
851	212395	1532639
852	212551	1531719
853	212690	1530671
854	212880	1529998
855	213058	1529241
856	213232	1528454
857	213404	1527656
858	213586	1526932
859	213818	1526566
860	213975	1525664
861	214193	1525197
862	214402	1524665
863	214577	1523898
864	214721	1522910
865	214854	1521841
866	215030	1521087
867	215200	1520288
868	215352	1519363
869	215498	1518399
870	215656	1517519
871	215810	1516613
872	215974	1515782
873	216146	1515000
874	216303	1514122
875	216474	1513347
876	216645	1512564
877	216790	1511610
878	216952	1510772
879	217119	1509968
880	217274	1509082
881	217495	1508656
882	217683	1508009
883	217883	1507438
884	218030	1506505
885	218201	1505740
886	218399	1505155
887	218553	1504279
888	218752	1503706
889	218905	1502823
890	219047	1501866
891	219207	1501033
892	219361	1500154
893	219529	1499381
894	219757	1499018
895	219935	1498310
896	220126	1497691
897	220283	1496845
898	220435	1495971
899	220602	1495191
900	220764	1494387
901	220919	1493533
902	221065	1492620
903	221220	1491770
904	221374	1490916
905	221520	1490003
906	221664	1489086
907	221813	1488203
908	221985	1487471
909	222134	1486594
910	222289	1485753
911	222537	1485537
912	222693	1484704
913	222860	1483946
914	223030	1483213
915	223206	1482522
916	223350	1481615
917	223506	1480792
918	223673	1480040
919	223828	1479216
920	223977	1478346
921	224204	1477998
922	224430	1477644
923	224578	1476774
924	224890	1476983
925	225054	1476219
926	225198	1475330
927	225355	1474521
928	225522	1473788
929	225680	1472990
930	225842	1472218
931	225987	1471340
932	226138	1470505
933	226283	1469631
934	226425	1468737
935	226555	1467772
936	226843	1467826
937	226997	1467014
938	227138	1466119
939	227290	1465301
940	227453	1464546
941	227601	1463703
942	227795	1463159
943	227953	1462381
944	228099	1461524
945	228250	1460708
946	228401	1459888
947	228542	1459009
948	228688	1458161
949	228825	1457254
950	228993	1456552
951	229158	1455831
952	229324	1455116
953	229487	1454385
954	229633	1453545
955	229789	1452768
956	229950	1452027
957	230091	1451158
958	230254	1450435
959	230418	1449715
960	230579	1448982
961	230728	1448169
962	230869	1447311
963	231018	1446500
964	231170	1445713
965	231334	1445001
