iter	LogLikelihoodOfPrediction	Logloss
873	0.88004566	0.2641270377
874	0.8800457685	0.264127065
875	0.8800465546	0.264126983
876	0.8800529843	0.2641262177
877	0.8800529958	0.2641261904
878	0.8800530073	0.2641262177
879	0.8800537458	0.2641261357
880	0.8800573081	0.2641256711
881	0.8800637096	0.2641248238
882	0.880069618	0.2641241404
883	0.8800938117	0.2641211339
884	0.8800938162	0.2641211612
885	0.8800945884	0.2641210519
886	0.880101264	0.2641202592
887	0.8801019807	0.2641201772
888	0.8801066651	0.2641196579
889	0.8801073216	0.2641196306
890	0.8801074737	0.2641195486
891	0.8801074831	0.2641195759
892	0.8801075658	0.2641195486
893	0.8801083188	0.2641194392
894	0.8801137747	0.2641187286
895	0.8801138332	0.2641186739
896	0.8801392944	0.2641155853
897	0.8801392964	0.2641156127
898	0.8801394334	0.26411564
899	0.8801395066	0.26411564
900	0.880139571	0.26411564
901	0.8801397017	0.264115558
902	0.880139817	0.2641155307
903	0.8801443643	0.2641150387
904	0.8801450124	0.2641149567
905	0.8801451321	0.2641149567
906	0.8801451881	0.2641149567
907	0.8801452434	0.2641148747
908	0.8801459332	0.2641148474
909	0.8801460427	0.264114902
910	0.8801460907	0.264114902
911	0.880218314	0.2641059916
912	0.8802184194	0.2641059916
913	0.8802185173	0.2641059916
914	0.8802191202	0.2641059096
915	0.8802197731	0.2641058276
916	0.8802203328	0.2641057729
917	0.880220433	0.2641057729
918	0.8802210612	0.2641056636
919	0.8802215862	0.2641055816
920	0.8802216904	0.2641055816
921	0.8802503242	0.264102083
922	0.8802553947	0.2641013997
923	0.8802554267	0.2641013451
924	0.8803218775	0.2640933093
925	0.8803219464	0.2640933093
926	0.8803220455	0.264093282
927	0.8803220745	0.2640933093
928	0.8803225476	0.2640932546
929	0.880323172	0.2640931453
930	0.8803237599	0.2640930906
931	0.8803242093	0.2640930633
932	0.8803242273	0.264093036
933	0.8803243257	0.264093036
934	0.8803244176	0.264093036
935	0.880324501	0.264093036
936	0.8803433979	0.2640904394
937	0.8803434926	0.2640904394
938	0.8803435795	0.2640904394
939	0.8803441659	0.264090412
940	0.8803447217	0.2640903847
941	0.880344793	0.2640903847
942	0.8803497935	0.2640898381
943	0.8803498694	0.2640898381
944	0.8803500478	0.2640898107
945	0.880350126	0.2640897834
946	0.8803501972	0.2640897834
947	0.8803502629	0.2640897561
948	0.8803503238	0.2640897561
949	0.8803503782	0.2640898107
950	0.8803523524	0.2640894554
951	0.88035254	0.2640894281
952	0.8803530613	0.2640893187
953	0.8803532404	0.2640892914
954	0.8803534068	0.2640892641
955	0.8803534834	0.2640892094
956	0.8803539857	0.2640891821
957	0.8803541481	0.2640892094
958	0.8803543032	0.2640891821
959	0.880354445	0.2640891821
960	0.8803545749	0.2640891001
961	0.8803546967	0.2640891001
962	0.8803547998	0.2640890727
963	0.8803549177	0.2640890727
964	0.8803550196	0.2640890727
965	0.8803555247	0.2640890454
