iter	LogLikelihoodOfPrediction	Logloss
96	0.8468826131	0.2681912564
97	0.8472024684	0.2681520068
98	0.848091771	0.2680430864
99	0.848222549	0.2680270969
100	0.8484808993	0.2679954731
101	0.8486054747	0.2679801122
102	0.8488911008	0.2679451538
103	0.8491557518	0.2679126827
104	0.8492711626	0.2678984971
105	0.8501354351	0.2677926653
106	0.8504904594	0.2677491245
107	0.8507679411	0.2677151227
108	0.851442792	0.2676324143
109	0.8519245166	0.2675733213
110	0.8520305439	0.267560311
111	0.8521859086	0.2675413148
112	0.8525983618	0.2674907222
113	0.8528706514	0.2674573218
114	0.8531045188	0.2674287046
115	0.853199063	0.2674171429
116	0.853338393	0.2674001147
117	0.8539501286	0.2673249774
118	0.8544990898	0.2672579033
119	0.8546800186	0.2672356272
120	0.8547221994	0.2672305434
121	0.8549135897	0.2672070647
122	0.8550316758	0.2671925237
123	0.8552813269	0.2671620479
124	0.8553653397	0.2671516888
125	0.8559227281	0.267083494
126	0.8561919984	0.2670503396
127	0.8564637646	0.2670170759
128	0.8565503719	0.2670064435
129	0.8566292013	0.2669967678
130	0.8570242686	0.2669484437
131	0.8571108686	0.266937784
132	0.8571920857	0.266927753
133	0.8576875994	0.266867102
134	0.8580808566	0.26681886
135	0.8581410152	0.2668114528
136	0.8584238493	0.2667768224
137	0.8584941878	0.2667682127
138	0.8585957183	0.2667558037
139	0.8587187084	0.2667406341
140	0.858903412	0.2667181667
141	0.859026148	0.2667030518
142	0.8591925834	0.266682689
143	0.859249116	0.2666758559
144	0.8594123438	0.2666557664
145	0.8598462756	0.2666024679
146	0.8599779361	0.2665863963
147	0.8602574659	0.2665521486
148	0.8605146279	0.2665205795
149	0.8605672112	0.266514211
150	0.8608681373	0.2664772573
151	0.8610280434	0.2664578239
152	0.8610758226	0.266451838
153	0.8611675988	0.2664406863
154	0.8612150255	0.2664347825
155	0.861343858	0.2664187656
156	0.8614126743	0.2664106205
157	0.8616100419	0.2663863765
158	0.8617102841	0.2663741041
159	0.8617797547	0.2663656584
160	0.8617935305	0.2663638271
161	0.8618266644	0.2663598912
162	0.8620986443	0.2663264635
163	0.8621369011	0.2663217349
164	0.8622490607	0.2663080413
165	0.8623081043	0.2663007708
166	0.8624687451	0.2662811734
167	0.8627444031	0.266247363
168	0.8628611556	0.2662330133
169	0.8628837416	0.2662301981
170	0.8629562372	0.266221397
171	0.8629917959	0.2662170238
172	0.863054799	0.2662093433
173	0.8631278858	0.2662004329
174	0.8632151691	0.2661896639
175	0.8632354843	0.2661873133
176	0.8634159906	0.2661651192
177	0.8635940045	0.2661432258
178	0.8639983862	0.2660936445
179	0.8640797603	0.2660837774
180	0.864148118	0.266075441
181	0.8642930532	0.2660576201
182	0.8643239894	0.2660538209
183	0.8643882234	0.2660459491
184	0.8645600202	0.266024821
185	0.864646085	0.2660142433
186	0.8646749908	0.2660107448
187	0.8647187534	0.2660054696
188	0.8650008198	0.2659709759
189	0.8650202117	0.2659685159
190	0.865274911	0.2659371654
191	0.8653148567	0.2659322729
192	0.8653328115	0.265930141
193	0.8654796988	0.2659122108
194	0.8655115486	0.2659083296
195	0.8655231057	0.2659069356
196	0.8655421495	0.2659045577
197	0.8655747911	0.2659005125
198	0.8656530035	0.2658909734
199	0.8656591594	0.2658901534
200	0.865763285	0.2658774438
201	0.8658115158	0.2658713759
202	0.8660137484	0.2658467493
203	0.8660421255	0.2658431414
204	0.8660593625	0.2658410641
205	0.8661959932	0.2658243639
206	0.8662019428	0.2658237352
207	0.8662171183	0.2658218493
208	0.8663276693	0.2658083196
209	0.8665653071	0.2657790738
210	0.8665906143	0.2657760399
211	0.8667165461	0.2657606516
212	0.8667260341	0.2657593397
213	0.8667704689	0.2657539278
214	0.866910828	0.2657368723
215	0.8669313265	0.2657342757
216	0.8669485304	0.2657321164
217	0.8669992887	0.2657259392
218	0.8670260317	0.2657227413
219	0.8672132909	0.2656996453
220	0.8672272344	0.2656979233
221	0.8672733861	0.2656923202
222	0.867368261	0.2656807311
223	0.8674083117	0.2656757839
224	0.8674500799	0.2656707274
225	0.867470828	0.2656680762
226	0.8674839438	0.2656666822
227	0.8675817666	0.2656544919
228	0.8676183601	0.2656500913
229	0.8677431604	0.2656347577
230	0.8678120594	0.265626312
231	0.8678703838	0.2656192602
232	0.8679512562	0.2656093111
233	0.8680561638	0.2655964648
234	0.868171192	0.2655823612
235	0.8682520244	0.2655724941
236	0.8682942851	0.2655673009
237	0.8683974892	0.2655546733
238	0.8684774187	0.2655447515
239	0.8685055147	0.265541335
240	0.8685259608	0.2655389024
241	0.8685614572	0.2655346385
242	0.8685742901	0.2655328892
